portfolio_id,return
PF00001001,0.025085
PF00001004,0.025098
PF00001009,0.025098
PF00001013,0.025098
PF00001014,0.025098
PF00001015,0.025105
PF00001017,0.025098
PF00001023,0.025098
PF00001024,0.025098
PF00001025,0.049827
PF00001028,0.027049
PF00001032,0.025098
PF00001036,0.025133
PF00001041,0.025211
PF00001045,0.025133
PF00001047,0.025133
PF00001049,0.02519
PF00001053,0.053428
PF00001060,0.02519
PF00001067,0.025207
PF00001068,0.025194
PF00001069,0.025285
PF00001077,0.02519
PF00001078,0.025194
PF00001085,0.02519
PF00001086,0.05313
PF00001087,0.025207
PF00001088,0.02519
PF00001092,0.025181
PF00001095,0.02519
PF00001099,0.025285
PF00001100,0.025285
PF00001104,0.02519
PF00001105,0.025647
PF00001107,0.026854
PF00001108,0.05462
PF00001112,0.026827
PF00001119,0.025676
PF00001123,0.026555
PF00001126,0.026555
PF00001132,0.026051
PF00001135,0.025894
PF00001145,0.025422
PF00001148,0.026051
PF00001153,0.025577
PF00001155,0.056841
PF00001161,0.025571
PF00001164,0.025577
PF00001165,0.025571
PF00001171,0.05791
PF00001178,0.025577
PF00001179,0.030124
PF00001180,0.05749
PF00001194,0.025577
PF00001199,0.025603
PF00001198,0.025349
PF00001203,0.025577
PF00001204,0.025571
PF00001209,0.05791
PF00001210,0.025577
PF00001218,0.025577
PF00001220,0.025603
PF00001223,0.025603
PF00001225,0.025577
PF00001227,0.025577
PF00001230,0.05791
PF00001233,0.025577
PF00001236,0.025577
PF00001238,0.025577
PF00001239,0.057953
PF00001241,0.057613
PF00001243,0.025577
PF00001244,0.025442
PF00001245,0.057112
PF00001253,0.025603
PF00001255,0.025192
PF00001258,0.025571
PF00001260,0.025577
PF00001262,0.025577
PF00001264,0.025571
PF00001265,0.025577
PF00001270,0.057113
PF00001274,0.025577
PF00001277,0.025577
PF00001282,0.025577
PF00001283,0.025571
PF00001285,0.025603
PF00001288,0.025603
PF00001290,0.025577
PF00001294,0.025577
PF00001296,0.025603
PF00001303,0.025577
PF00001305,0.025577
PF00001306,0.025577
PF00001309,0.025577
PF00001310,0.025571
PF00001312,0.025577
PF00001313,0.057126
PF00001316,0.024883
PF00001319,0.025797
PF00001324,0.025791
PF00001325,0.025954
PF00001331,0.025791
PF00001333,0.054969
PF00001334,0.025797
PF00001335,0.025797
PF00001340,0.025954
PF00001345,0.025797
PF00001348,0.054969
PF00001352,0.025797
PF00001354,0.025954
PF00001355,0.055025
PF00001356,0.055025
PF00001368,0.025937
PF00001370,0.026043
PF00001372,0.025937
PF00001375,0.025937
PF00001382,0.025937
PF00001384,0.025912
PF00001388,0.026354
PF00001389,0.026399
PF00001391,0.026846
PF00001412,0.051023
PF00001419,0.05462
PF00001424,0.028629
PF00001427,0.028718
PF00001428,0.028504
PF00001430,0.028377
PF00001432,0.050631
PF00001433,0.028504
PF00001438,0.028437
PF00001440,0.055025
PF00001441,0.028263
PF00001446,0.028288
PF00001450,0.027959
PF00001453,0.051367
PF00001456,0.028263
PF00001458,0.028311
PF00001463,0.054969
PF00001464,0.028263
PF00001471,0.054969
PF00001473,0.034315
PF00001474,0.051976
PF00001480,0.02819
PF00001486,0.055025
PF00001493,0.05193
PF00001494,0.03612
PF00001497,0.031956
PF00001500,0.032313
PF00001503,0.055608
PF00001505,0.032311
PF00001508,0.032311
PF00001510,0.032311
PF00001511,0.031665
PF00001512,0.056452
PF00001515,0.032313
PF00001516,0.054164
PF00001519,0.052128
PF00001522,0.03251
PF00001529,0.03251
PF00001532,0.032516
PF00001535,0.032426
PF00001536,0.032516
PF00001537,0.031869
PF00001540,0.055181
PF00001541,0.032516
PF00001542,0.055126
PF00001547,0.03249
PF00001550,0.050444
PF00001553,0.032481
PF00001556,0.032563
PF00001561,0.055307
PF00001564,0.055307
PF00001565,0.032563
PF00001569,0.035117
PF00001572,0.051624
PF00001575,0.035117
PF00001578,0.035117
PF00001579,0.056336
PF00001583,0.035117
PF00001589,0.035209
PF00001590,0.056336
PF00001592,0.034841
PF00001593,0.05349
PF00001597,0.035209
PF00001599,0.035159
PF00001614,0.036526
PF00001618,0.036526
PF00001619,0.036553
PF00001629,0.036526
PF00001626,0.036526
PF00001628,0.036553
PF00001631,0.057646
PF00001632,0.036553
PF00001633,0.036671
PF00001635,0.036526
PF00001642,0.03678
PF00001648,0.037046
PF00001654,0.036239
PF00001655,0.03648
PF00001656,0.036239
PF00001660,0.037046
PF00001661,0.059074
PF00001665,0.037046
PF00001667,0.059074
